-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      26.991ms         0.25%      26.991ms       2.067us         13056  
                                  Lazy Function Loading         0.01%     706.734us         0.01%     706.734us      22.798us      13.635ms         0.13%      13.635ms     439.838us            31  
                                            aten::fill_         0.25%      29.725ms         0.79%      92.544ms       6.406us      12.115ms         0.11%      12.119ms       0.839us         14446  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.101ms         0.11%      12.101ms       0.890us         13600  
                                           Buffer Flush         0.07%       7.691ms         0.07%       7.905ms     154.991us       5.808ms         0.05%       5.813ms     113.976us            51  
nvjet_sm121_tst_mma_64x104x64_4_16x104x64_tmaAB_alig...         0.00%       0.000us         0.00%       0.000us       0.000us       5.098ms         0.05%       5.098ms      26.550us           192  
                       Runtime Triggered Module Loading         0.47%      55.295ms         0.47%      55.295ms      18.432ms       3.506ms         0.03%       3.506ms       1.169ms             3  
                                Activity Buffer Request         0.95%     110.857ms         0.96%     112.316ms       2.202ms       3.261ms         0.03%       4.705ms      92.263us            51  
                           _moe_C::moe_align_block_size         0.01%       1.310ms         0.54%      62.978ms     218.675us       3.167ms         0.03%       7.139ms      24.789us           288  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.165ms         0.02%       2.165ms       6.444us           336  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       2.122ms         0.02%       2.122ms       6.317us           336  
                                           aten::argmax         0.03%       3.276ms         0.09%      10.464ms      37.777us       1.981ms         0.02%       2.026ms       7.316us           277  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.853ms         0.02%       1.853ms       6.688us           277  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.825ms         0.02%       1.825ms       0.935us          1952  
void vllm::moe::moe_align_block_size_kernel<int>(int...         0.00%       0.000us         0.00%       0.000us       0.000us       1.683ms         0.02%       1.683ms       5.843us           288  
void vllm::moe::count_and_sort_expert_tokens_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       1.484ms         0.01%       1.484ms       5.153us           288  
                                  cudaStreamIsCapturing         0.01%       1.286ms         0.01%       1.288ms       0.421us       1.429ms         0.01%       1.429ms       0.467us          3060  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.370ms         0.01%       1.370ms       1.642us           834  
                                            aten::index         0.16%      18.259ms         0.32%      37.363ms      67.199us       1.115ms         0.01%       2.055ms       3.697us           556  
                                   cudaEventSynchronize        17.16%        2.013s        73.59%        8.633s      15.498ms       1.052ms         0.01%        9.423s      16.917ms           557  
                                       cuLaunchKernelEx         1.12%     131.143ms         2.51%     294.887ms      10.820us       1.001ms         0.01%     805.605ms      29.559us         27254  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us     827.789us         0.01%     827.789us       2.978us           278  
